Run,Step,Agent,Reward
0,0,Lee,0.38
0,0,Shin,0.78
0,0,Kang,0.6
0,0,Lim,0.94
0,0,Ko,0.3
0,1,Lee,0.48
0,1,Shin,0.98
0,1,Kang,0.9
0,1,Lim,0.88
0,1,Ko,0.08
0,2,Lee,0.26
0,2,Shin,0.84
0,2,Kang,0.76
0,2,Lim,0.8
0,2,Ko,0.02
0,3,Lee,0.34
0,3,Shin,0.94
0,3,Kang,0.76
0,3,Lim,0.8
0,3,Ko,0.2
0,4,Lee,0.64
0,4,Shin,1.04
0,4,Kang,0.82
0,4,Lim,0.62
0,4,Ko,0.12
0,5,Lee,0.52
0,5,Shin,0.98
0,5,Kang,0.78
0,5,Lim,0.64
0,5,Ko,0.18
0,6,Lee,0.6
0,6,Shin,0.96
0,6,Kang,0.74
0,6,Lim,0.58
0,6,Ko,0.28
0,7,Lee,0.6
0,7,Shin,0.92
0,7,Kang,0.66
0,7,Lim,0.6
0,7,Ko,0.18
0,8,Lee,0.68
0,8,Shin,0.94
0,8,Kang,0.8
0,8,Lim,0.62
0,8,Ko,0.2
0,9,Lee,0.76
0,9,Shin,0.78
0,9,Kang,0.7
0,9,Lim,0.54
0,9,Ko,0.16
0,10,Lee,0.7
0,10,Shin,0.82
0,10,Kang,0.76
0,10,Lim,0.58
0,10,Ko,0.2
0,11,Lee,0.84
0,11,Shin,0.92
0,11,Kang,0.66
0,11,Lim,0.5
0,11,Ko,0.22
0,12,Lee,0.84
0,12,Shin,0.76
0,12,Kang,0.9
0,12,Lim,0.48
0,12,Ko,0.24
0,13,Lee,0.94
0,13,Shin,1.06
0,13,Kang,0.88
0,13,Lim,0.28
0,13,Ko,0.12
0,14,Lee,1.12
0,14,Shin,0.84
0,14,Kang,0.62
0,14,Lim,0.48
0,14,Ko,0.18
0,15,Lee,0.94
0,15,Shin,0.88
0,15,Kang,0.66
0,15,Lim,0.38
0,15,Ko,0.14
0,16,Lee,1.04
0,16,Shin,0.94
0,16,Kang,0.62
0,16,Lim,0.48
0,16,Ko,0.14
0,17,Lee,0.92
0,17,Shin,0.86
0,17,Kang,0.84
0,17,Lim,0.3
0,17,Ko,0.16
0,18,Lee,1.04
0,18,Shin,1.04
0,18,Kang,0.58
0,18,Lim,0.32
0,18,Ko,0.16
0,19,Lee,1.26
0,19,Shin,1.0
0,19,Kang,0.74
0,19,Lim,0.2
0,19,Ko,0.22
0,20,Lee,1.2
0,20,Shin,0.86
0,20,Kang,0.64
0,20,Lim,0.38
0,20,Ko,0.18
0,21,Lee,1.16
0,21,Shin,0.94
0,21,Kang,0.7
0,21,Lim,0.32
0,21,Ko,0.16
0,22,Lee,1.1
0,22,Shin,0.94
0,22,Kang,0.72
0,22,Lim,0.42
0,22,Ko,0.18
0,23,Lee,1.2
0,23,Shin,0.96
0,23,Kang,0.68
0,23,Lim,0.46
0,23,Ko,0.16
0,24,Lee,1.54
0,24,Shin,1.0
0,24,Kang,0.7
0,24,Lim,0.24
0,24,Ko,0.12
0,25,Lee,1.18
0,25,Shin,0.88
0,25,Kang,0.62
0,25,Lim,0.34
0,25,Ko,0.1
0,26,Lee,1.3
0,26,Shin,1.06
0,26,Kang,0.56
0,26,Lim,0.3
0,26,Ko,0.14
0,27,Lee,1.22
0,27,Shin,0.76
0,27,Kang,0.74
0,27,Lim,0.28
0,27,Ko,0.14
0,28,Lee,1.28
0,28,Shin,0.8
0,28,Kang,0.66
0,28,Lim,0.3
0,28,Ko,0.1
0,29,Lee,1.32
0,29,Shin,1.0
0,29,Kang,0.64
0,29,Lim,0.44
0,29,Ko,0.16
0,30,Lee,1.26
0,30,Shin,0.96
0,30,Kang,0.8
0,30,Lim,0.34
0,30,Ko,0.12
0,31,Lee,1.12
0,31,Shin,1.06
0,31,Kang,0.74
0,31,Lim,0.36
0,31,Ko,0.08
0,32,Lee,1.18
0,32,Shin,0.92
0,32,Kang,0.56
0,32,Lim,0.36
0,32,Ko,0.2
0,33,Lee,1.24
0,33,Shin,1.02
0,33,Kang,0.76
0,33,Lim,0.34
0,33,Ko,0.06
0,34,Lee,1.2
0,34,Shin,0.92
0,34,Kang,0.46
0,34,Lim,0.4
0,34,Ko,0.14
0,35,Lee,1.38
0,35,Shin,0.92
0,35,Kang,0.7
0,35,Lim,0.22
0,35,Ko,0.16
0,36,Lee,1.24
0,36,Shin,0.9
0,36,Kang,0.68
0,36,Lim,0.28
0,36,Ko,0.16
0,37,Lee,1.44
0,37,Shin,0.76
0,37,Kang,0.86
0,37,Lim,0.38
0,37,Ko,0.08
0,38,Lee,1.4
0,38,Shin,0.96
0,38,Kang,0.64
0,38,Lim,0.4
0,38,Ko,0.2
0,39,Lee,1.32
0,39,Shin,0.9
0,39,Kang,0.58
0,39,Lim,0.34
0,39,Ko,0.18
1,0,Lee,0.2
1,0,Shin,0.94
1,0,Kang,0.84
1,0,Lim,0.86
1,0,Ko,0.24
1,1,Lee,0.32
1,1,Shin,0.82
1,1,Kang,0.8
1,1,Lim,0.66
1,1,Ko,0.2
1,2,Lee,0.38
1,2,Shin,0.82
1,2,Kang,0.78
1,2,Lim,0.7
1,2,Ko,0.16
1,3,Lee,0.46
1,3,Shin,0.82
1,3,Kang,0.78
1,3,Lim,0.54
1,3,Ko,0.18
1,4,Lee,0.56
1,4,Shin,0.8
1,4,Kang,0.94
1,4,Lim,0.72
1,4,Ko,0.06
1,5,Lee,0.64
1,5,Shin,0.86
1,5,Kang,0.98
1,5,Lim,0.38
1,5,Ko,0.26
1,6,Lee,0.54
1,6,Shin,0.78
1,6,Kang,0.88
1,6,Lim,0.54
1,6,Ko,0.22
1,7,Lee,0.76
1,7,Shin,0.78
1,7,Kang,0.74
1,7,Lim,0.62
1,7,Ko,0.24
1,8,Lee,0.9
1,8,Shin,0.8
1,8,Kang,0.82
1,8,Lim,0.58
1,8,Ko,0.26
1,9,Lee,0.66
